Gene,Value,Normalized_Value
ZBBX,2000000,1000
CTNS,432244,216.122
NAGLU,431656,215.828
FAM114A2,430586,215.293
MFAP3,431178,215.589
PRKD1,430945,215.4725
MCM3AP,432028,216.014
MRPL48,430410,215.205
DKK2,431969,215.9845
SULT6B1,2000000,1000
FN3KRP,430718,215.359
NUP85,430458,215.229
ITPRIPL2,431574,215.787
SMARCAD1,430536,215.268
CEACAM16,432987,216.4935
DUSP7,430603,215.3015
LSM1,430531,215.2655
BAG4,430718,215.359
GAL,430530,215.265
CNDP1,430718,215.359
NAGA,430347,215.1735
DOK5,431367,215.6835
GFM2,430630,215.315
TMEM182,2000000,1000
PSMD6,430705,215.3525
MIDN,2000000,1000
NUCB2,431314,215.657
MPHOSPH9,430697,215.3485
C12orf65,430718,215.359
CHD5,431906,215.953
MCHR1,430521,215.2605
ZC3HC1,430358,215.179
DDX10,430104,215.052
SNAP91,430661,215.3305
EPB41L3,430162,215.081
DGKD,431443,215.7215
SMU1,431032,215.516
COL23A1,2000000,1000
SETD7,430985,215.4925
AMPH,430871,215.4355
CACNB2,430590,215.295
SMTNL2,430718,215.359
SORCS3,431503,215.7515
GOSR1,430635,215.3175
PRMT7,430999,215.4995
SMPD3,2000000,1000
PNPT1,430641,215.3205
EHBP1,430825,215.4125
TMC5,2000000,1000
MAPK6,430067,215.0335
PARP16,431969,215.9845
DCDC2,430709,215.3545
CDCA7L,431220,215.61
SEZ6L,431212,215.606
MBNL1,430123,215.0615
PRKG1,430227,215.1135
NDUFA12,431214,215.607
NOSTRIN,2000000,1000
LGR5,431425,215.7125
ZNF592,431003,215.5015
SRGAP1,2000000,1000
TMEM170B,2000000,1000
EIF5A2,430964,215.482
COL11A1,431112,215.556
PUF60,430631,215.3155
PREX2,431308,215.654
MRPS7,430851,215.4255
MIF4GD,2000000,1000
PSKH2,430857,215.4285
FOXF1,430827,215.4135
KLC1,430609,215.3045
TP53BP1,430447,215.2235
FREM1,2000000,1000
ZNF500,2000000,1000
SIPA1L1,431993,215.9965
SNF8,431235,215.6175
AMBRA1,432060,216.03
SCEL,430718,215.359
DNER,432148,216.074
SLC13A3,431145,215.5725
FRMD4A,431586,215.793
SUMF2,2000000,1000
PHKG1,431958,215.979
FBXW4,2000000,1000
FAR2,2000000,1000
JAM3,431230,215.615
LHFPL3,2000000,1000
RPA1,430317,215.1585
RBM18,2000000,1000
SHANK3,2000000,1000
ACR,430279,215.1395
SIAE,2000000,1000
SPA17,431234,215.617
SSBP3,430673,215.3365
BICD1,432112,216.056
TUBG1,430102,215.051
RABEP1,431108,215.554
GRIK1,430384,215.192
PELI2,431118,215.559
ELOVL6,431558,215.779
TXNRD1,430890,215.445
MGRN1,431291,215.6455
DONSON,431019,215.5095
GTF3A,430721,215.3605
NRF1,431135,215.5675
PCCB,431149,215.5745
NUDT21,430583,215.2915
LIFR,430997,215.4985
MSL2,430862,215.431
FCF1,430451,215.2255
PIM3,430915,215.4575
STYK1,430808,215.404
HIST1H1D,430692,215.346
HIST1H4F,430750,215.375
HIST1H4G,430993,215.4965
RBX1,430110,215.055
PDE4D,430629,215.3145
MKL1,431011,215.5055
